"Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group"
"Perciformes","Scombridae",1230,185,121.5,109.3,177.14,58.08,42.39,40.49,13350,"Surface"
"Clupeiformes","Clupeidae",211.83,62.89,25.51,30.47,24.93,6.19,20.32,4.52,166.27,"Surface"
"Clupeiformes","Clupeidae",258.51,63.64,26.66,36.95,35.74,7.76,18.9,4.68,194.8,"Surface"
"Clupeiformes","Clupeidae",291.18,82.34,37.55,44.72,41.62,11.04,24.64,7.07,386,"Surface"
"Clupeiformes","Clupeidae",164.81,47.33,22.09,26.79,26.74,5.81,14.36,3.81,78.03,"Surface"
"Clupeiformes","Clupeidae",262.99,71.23,28.68,38.59,41.34,10.12,24.46,5.89,228.77,"Surface"
"Clupeiformes","Clupeidae",204.83,52.77,21.3,30.03,29.27,5.03,16.6,4.93,116.7,"Surface"
"Clupeiformes","Clupeidae",246.61,72.14,27.73,36.33,36.67,9.91,24.28,5.6,244.97,"Surface"
"Clupeiformes","Clupeidae",234.22,75.9,27.11,36.98,31.39,6.98,23.92,5.27,209.33,"Surface"
"Clupeiformes","Clupeidae",242.74,67.05,25.94,36.65,38.95,6.19,20.97,5.91,179,"Surface"
"Clupeiformes","Clupeidae",156.37,34.57,19.53,21.43,14.63,3.77,11.1,4.17,54.87,"Surface"
"Clupeiformes","Clupeidae",117.91,54.02,18.06,20.66,9.33,3.78,15.34,3.14,48.03,"Surface"
"Lophiiformes","Antennariidae",178.35,104.79,59.37,83.28,40.47,37,24.76,7.34,486.57,"Deep-sea"
"Lophiiformes","Antennariidae",93.87,57.47,40.89,44.78,29.74,25.28,13.33,4.86,113.73,"Deep-sea"
"Lophiiformes","Antennariidae",75.6,52.27,28.37,39.45,25.83,16.41,11.7,3.15,48.3,"Deep-sea"
"Lophiiformes","Antennariidae",89.85,55.63,38.56,44.27,25.03,21.76,14.29,4.52,93.2,"Deep-sea"
"Lophiiformes","Antennariidae",97.45,49.76,33.42,42.85,21.4,21.66,13.22,5.76,98.2,"Deep-sea"
"Lophiiformes","Antennariidae",71.67,26.45,26.95,22.76,14.25,15.68,7.06,2.54,43.4,"Deep-sea"
"Lophiiformes","Antennariidae",65.34,39.01,20.57,32.06,16.02,15.36,9.04,3.12,19.75,"Deep-sea"
"Lophiiformes","Antennariidae",43.61,28.43,17.75,20.15,14.3,11.73,6.12,2.02,10.9,"Deep-sea"
"Stomiiformes","Sternoptychidae",63.53,48.29,16.22,35.75,19.15,13.8,7.53,1.8,9.33,"Deep-sea"
"Stomiiformes","Sternoptychidae",64.67,33.3,10.27,24.3,15.5,6.8,6.3,1.47,7.43,"Deep-sea"
"Stomiiformes","Sternoptychidae",80.48,29.54,12.02,26.33,19.06,7.88,6.84,1.82,11.88,"Deep-sea"
"Stomiiformes","Sternoptychidae",32.47,12.21,4.68,11.23,8.52,3.84,2.61,1.03,0.89,"Deep-sea"
"Stomiiformes","Sternoptychidae",42.5,23.4,4.9,16.97,9.93,3.7,4.53,0.97,1.44,"Deep-sea"
"Stomiiformes","Sternoptychidae",36.57,24.89,5.28,17.48,12.48,4.24,4.15,0.99,1.29,"Deep-sea"
"Stomiiformes","Sternoptychidae",70.1,42.2,9.9,26.4,17.9,5.8,6.8,1.6,8,"Deep-sea"
"Stomiiformes","Stomiidae",183.67,48.7,16.4,29.27,52.5,5.93,5.07,1.7,66.77,"Deep-sea"
